

🛫 机场配置表

| 编号     | 类型 | 地区名   | 平均起飞时间 | 飞往的目标机场标号及概率权重                                                                |
| **27** | 港口 | **马达加斯加** | **6天**   | 25(40%), 24(30%), 20(30%) *(极难抵达)*                 |
| **29** | 港口 | 东南亚       | **2天**   | 24(30%), 30(20%), 34(20%), 32(30%)                 |
| **30** | 港口 | 印度尼西亚     | **3天**   | 29(40%), 38(40%), 34(20%)                          |
| **32** | 港口 | 中国        | **2天**   | 37(25%), 29(25%), 34(20%), 51(15%), 38(15%)        |
| **34** | 港口 | 菲律宾       | **4天**   | 32(40%), 29(30%), 30(30%)                          |
| **35** | 港口 | 印度尼西亚2    | **3天**   | 40(40%), 39(40%), 24(20%)                          |
| **37** | 港口 | 日本        | **2天**   | 32(30%), 16(20%), 51(30%), 34(20%)                 |
| **38** | 港口 | 澳大利亚1     | **2天**   | 30(40%), 40(40%), 32(20%)                          |
| **39** | 港口 | 澳大利亚2     | **2天**   | 40(40%), 45(20%), 35(40%)                          |
| **40** | 港口 | 新西兰       | **5天**   | 38(50%), 35(25%), 43(25%)                          |
| **43** | 港口 | 阿根廷       | **3天**   | 45(40%), 40(30%), 25(30%)                          |
| **44** | 港口 | 阿根廷       | **3天**   | 45(50%), 47(30%), 51(20%)                          |
| **45** | 港口 | 巴西        | **2天**   | 43(30%), 18(30%), 54(20%), 51(20%)                 |
| **47** | 港口 | 中美洲       | **3天**   | 54(40%), 52(30%), 45(30%)                          |
| **48** | 港口 | 加拿大       | **3天**   | 0(20%), 51(30%), 6(30%), 1(20%) *(通往格陵兰要道)*        |
| **51** | 港口 | 美国        | **1.5天** | 48(20%), 52(20%), 54(15%), 3(15%), 4(15%), 37(15%) |
| **52** | 港口 | 墨西哥       | **3天**   | 51(40%), 47(30%), 54(30%)                          |
| **54** | 港口 | **加勒比海**  | **4天**   | 51(30%), 52(30%), 47(20%), 45(20%)                 |


